Location,Class
BHADRAK,Unclassified
BHADRAWATI,Unclassified
BHADRESAR,Unclassified
BHADRESWAR,Unclassified
BHADURPURA,Unclassified
BHANDARA,Unclassified
BHANDGAON,Unclassified
BHANDUP,Unclassified
BHARATPUR,Unclassified
BHARUCH,Unclassified
BHATAPARA,Unclassified
BHATIA,Unclassified
BHATINDA,Unclassified
BHAVNAGAR,Unclassified
BHAWANI MANDI,Unclassified
BHERAI,Unclassified
BHESTAN,Unclassified
BHIKAJI CAMA PLACE,Unclassified
BHILAI,Unclassified
BHILWARA,Unclassified
BHIMASAR,Unclassified
BHIMTAL,Unclassified
BHIND,Unclassified
BHIWADI,Unclassified
BHIWANDI,Unclassified
BHIWANI,Unclassified
BHOGAPURAM,Unclassified
BHOJPUR,Unclassified
BHONGIR,Unclassified
BHOOTHPUR,Unclassified
BHOPAL,Unclassified
BHUBANESWAR,Unclassified
BHUJ,Unclassified
BHUNDI,Unclassified
BIDADI,Unclassified
BIDAR,Unclassified
BIHAR (15 DIST.S,Unclassified
BIJAPUR,Unclassified
BIJNOR,Unclassified
BIKANER,Unclassified
BILASPUR,Unclassified
BINA,Unclassified
BINOLA,Unclassified
BINSAR,Unclassified
BIRBHUM,Unclassified
BISHNUPUR,Unclassified
BODLA,Unclassified
BOISAR,Unclassified
BOKARO,Unclassified
BOLANGIR,Unclassified
BOLPUR,Unclassified
BONGAIGOAN,Unclassified
BONHOOGHLY,Unclassified
BORIVALI,Unclassified
BOTAD,Unclassified
BOUDH,Unclassified
BRAHMAPUR,Unclassified
BUDGE BUDGE,Unclassified
BUDHNI,Unclassified
BUGRA,Unclassified
BULANDSHAHR,Unclassified
BULDHANA,Unclassified
BUNDI,Unclassified
BUNDU,Unclassified
BURDWAN,Unclassified
BURHANPUR,Unclassified
BUXAR,Unclassified
BYCHAPURA,Unclassified
CACHAR,Unclassified
CADALORE,Unclassified
CALICUT,Unclassified
CHAKAN,Unclassified
CHAKRADHARPUR,Unclassified
CHALAKUDY,Unclassified
CHAMARAJANAGAR,Unclassified
CHAMBA,Unclassified
CHAMOLI,Unclassified
CHAMPA,Unclassified
CHAMPARAN,Unclassified
CHAMPAWAT,Unclassified
CHAMPDANI,Unclassified
CHAMPUA,Unclassified
CHANDARPUR,Unclassified
CHANDAULI,Unclassified
CHANDEL,Unclassified
CHANDERIA,Unclassified
CHANDI,Unclassified
CHANDIGARH UT (2 DIST.S,Unclassified
CHANDRAPUR,Unclassified
CHANGLANG,Unclassified
CHAPAGURI,Unclassified
CHARU,Unclassified
CHATRA,Unclassified
CHATTARPUR,Unclassified
CHAVADI,Unclassified
CHEKHALA,Unclassified
CHELLANAM,Unclassified
CHEMBUR,Unclassified
CHENDIPADA,Unclassified
CHENGALPATTU,Unclassified
CHENNAI,Unclassified
CHERAI,Unclassified
CHERTHALA,Unclassified
CHERUVATHUR,Unclassified
CHHABRA,Unclassified
CHHATARPUR,Unclassified
CHHATTISGARH (8 DIST.S,Unclassified
CHHINDWARA,Unclassified
CHHOTA UDAIPUR,Unclassified
CHICALIM VASCO,Unclassified
CHICKMAGALURU,Unclassified
CHIKKABALLAPUR,Unclassified
CHIKKAMAGALURU,Unclassified
CHIMBEL,Unclassified
CHINCHWAD,Unclassified
CHINTAMANI,Unclassified
CHIPLUN,Unclassified
CHIRALA,Unclassified
CHIRANG,Unclassified
CHITOOR,Unclassified
CHITRA,Unclassified
CHITRADURGA,Unclassified
CHITRAKOOT,Unclassified
CHITTOOR,Unclassified
CHITTORGARH,Unclassified
CHOPANKI,Unclassified
CHUBWA,Unclassified
CHURACHANDPUR,Unclassified
CHURU,Unclassified
CHUTIA,Unclassified
COCHIN,Unclassified
COIMBATORE,Unclassified
CONNAUGHT PLACE,Unclassified
COOCH BEHAR,Unclassified
COORG,Unclassified
CUDDALORE,Unclassified
CUTTACK,Unclassified
DABHASA,Unclassified
DADHEDA,Unclassified
DADRA,Unclassified
DADRI,Unclassified
DAHANU,Unclassified
DAHEJ,Unclassified
DAHOD,Unclassified
DAKSHINA KANNADA,Unclassified
DALTANGANJ,Unclassified
DAMAN,Unclassified
DAMOH,Unclassified
DANDDO,Unclassified
DANGRI,Unclassified
DANGS,Unclassified
DANTEWADA,Unclassified
DARBHANGA,Unclassified
DARJEELING,Unclassified
DARRANG,Unclassified
DAUSA,Unclassified
DAVANAGERE,Unclassified
DEDIAPADA,Unclassified
DEHRADUN,Unclassified
DELANGA,Unclassified
DELHI (12 DIST.S,Unclassified
DELHI (16 DIST.S,Unclassified
DELHI /NCR,Unclassified
DEOGARH,Unclassified
DEOGHAR,Unclassified
DEOLI,Unclassified
DEORIA,Unclassified
DEVAKOTTAI,Unclassified
DEVBHUMI DWARKA,Unclassified
DEVGHAR,Unclassified
DEWAS,Unclassified
DHABOTA,Unclassified
DHAMARI,Unclassified
DHAMDHERE,Unclassified
DHAMRA,Unclassified
DHAMTARI,Unclassified
DHANBAD,Unclassified
DHANERA,Unclassified
DHANETI,Unclassified
DHAR,Unclassified
DHARAMAPURI,Unclassified
DHARAMPUR,Unclassified
DHARAMSHALA,Unclassified
DHARAVI,Unclassified
DHARMAPURI,Unclassified
DHARSIWA,Unclassified
DHARUHERA,Unclassified
DHARWAD,Unclassified
DHAULA KUAN,Unclassified
DHAULANA,Unclassified
DHEMAJI,Unclassified
DHENKANAL,Unclassified
DHOD,Unclassified
DHOKSAL,Unclassified
DHOLPUR,Unclassified
DHRANGADHRA,Unclassified
DHULE,Unclassified
DIBRUGARH,Unclassified
DICHPALLY,Unclassified
DIMA HASAO,Unclassified
DIMAPUR,Unclassified
DINDIGUL,Unclassified
DINDORI,Unclassified
DIPKA,Unclassified
DIRANG,Unclassified
