Location,Class,Intelligent_Class
KARJAT,Unclassified,Town
KARKARDOOMA,Unclassified,Town
KARNAL,Unclassified,District
KAROL BAGH,Unclassified,Town
KARSANG,Unclassified,Village
KARUR,Unclassified,District
KARWAR,Unclassified,Town
KASARGOD,Unclassified,Town
KASGANJ,Unclassified,District
KASHIPUR,Unclassified,Town
KASHMIR,Unclassified,Village
KASRAWAD,Unclassified,City
KATHA,Unclassified,City
KATHUA,Unclassified,City
KATIHAR,Unclassified,District
KATNI,Unclassified,District
KATOL,Unclassified,City
KATPADI,Unclassified,District
KAWAI,Unclassified,City
KAWARDHA,Unclassified,Town
KELCHA MAL,Unclassified,Town
KENDRAPUR,Unclassified,Town
KENDUJHAR,Unclassified,District
KENGERI,Unclassified,Town
KEOJHAR,Unclassified,Town
KEONJHAR,Unclassified,District
KHADI MACHINE,Unclassified,Town
KHAGARIA,Unclassified,District
KHAIRATABAD,Unclassified,Town
KHAJURAHO,Unclassified,Village
KHAMMAM,Unclassified,City
KHANDKE,Unclassified,Town
KHANDWA,Unclassified,District
KHANNA,Unclassified,City
KHARGHAR,Unclassified,Town
KHARGONE,Unclassified,District
KHARIGRAM,Unclassified,Village
KHATIMA,Unclassified,Town
KHATUWAS,Unclassified,Town
KHEDA,Unclassified,District
KHERWA,Unclassified,City
KHIJRABAD,Unclassified,Town
KHODIYAR,Unclassified,Village
KHOLA,Unclassified,Village
KHOPOLI,Unclassified,Town
KHORDA,Unclassified,City
KHORDHA,Unclassified,District
KHUNTI,Unclassified,District
KHURDA,Unclassified,City
KHUSHKHERA,Unclassified,Village
KHWABGAH,Unclassified,Town
KINNAUR,Unclassified,District
KIRTI NAGAR,Unclassified,Town
KISHANGANJ,Unclassified,District
KISHTWAR,Unclassified,Town
KOCHI,Unclassified,City
KODAKARA,Unclassified,Village
KODERMA,Unclassified,District
KODINAR,Unclassified,Town
KOHIMA,Unclassified,City
KOHLAPUR,Unclassified,Town
KOKRAJHAR,Unclassified,District
KOLAR,Unclassified,District
KOLASIB,Unclassified,District
KOLHAPUR,Unclassified,City
KOLKATA,Unclassified,City
KOLKHE,Unclassified,Town
KOLLAM,Unclassified,City
KOLLAPUR,Unclassified,Town
KONA,Unclassified,Town
KONDAPALLI,Unclassified,Town
KONDHWA,Unclassified,Town
KONKAN,Unclassified,Town
KOPPAL,Unclassified,District
KORAMANGALA,Unclassified,Town
KORAPUT,Unclassified,District
KORBA,Unclassified,District
KORIYA,Unclassified,District
KORPANA,Unclassified,Town
KOSI KALAN,Unclassified,Village
KOSMI,Unclassified,City
KOTA,Unclassified,City
KOTESHWAR,Unclassified,Village
KOTHLAPUR,Unclassified,Village
KOTPUTLI,Unclassified,Town
KOTTAYAM,Unclassified,District
KOVALAM,Unclassified,Town
KOVILAMBAKKAM,Unclassified,Town
KOYILANDY,Unclassified,Town
KOZHIKODE,Unclassified,City
KR PURAM,Unclassified,Town
KRISHNA,Unclassified,Town
KRISHNAGIRI,Unclassified,District
KUILISUTA,Unclassified,Town
KULLU,Unclassified,Town
KUMAON,Unclassified,Village
KUMBAKONAM,Unclassified,City
KUMREK,Unclassified,Town
KUMTA TEHSIL OF UTTARA KANNADA,Unclassified,Town
KUNDAL,Unclassified,Town
KUNDLI,Unclassified,City
KURKUMBH,Unclassified,Town
KURNOOL,Unclassified,City
KURUKSHETRA,Unclassified,City
KURUNG KUMEY,Unclassified,District
KUSHINAGAR,Unclassified,Town
KUTCH,Unclassified,District
KUTHAMBAKKAM,Unclassified,Village
KUTHREL,Unclassified,Town
KYMORE,Unclassified,Town
LADNU,Unclassified,Town
LAHAUL,Unclassified,District
LAKARPUR,Unclassified,Town
LAKHIMPUR,Unclassified,District
LAKHIMPUR KHERI,Unclassified,District
LAKHISARAI,Unclassified,District
LAKHMAPUR,Unclassified,Village
LALITPUR,Unclassified,District
LALRU,Unclassified,Town
LAMBHUA,Unclassified,District
LATEHAR,Unclassified,District
LATUR,Unclassified,District
LAXMIPURA,Unclassified,City
LEH,Unclassified,City
LEPAKSHI,Unclassified,Town
LILUAH,Unclassified,Town
LOHARA,Unclassified,City
LOHARDAGA,Unclassified,District
LOHIT,Unclassified,District
LONAVALA,Unclassified,Town
LONGDING,Unclassified,District
LONI,Unclassified,City
LOTE,Unclassified,Village
LOTE MAHAD,Unclassified,Town
LOWER DIBANG VALLEY,Unclassified,District
LUCKNOW,Unclassified,City
LUDHIANA,Unclassified,City
MACHERLA,Unclassified,Town
MACHILIPATNAM,Unclassified,City
MADHEPURA,Unclassified,District
MADHOPUR,Unclassified,City
MADHUBANI,Unclassified,District
MADHUPUR,Unclassified,District
MADURAI,Unclassified,City
MADURANTHAKAM,Unclassified,Town
MAGADI,Unclassified,Town
MAHAD,Unclassified,Town
MAHASAMUND,Unclassified,District
MAHAVIR INTERNATIONAL DELHI,Unclassified,Town
MAHBUBNAGAR,Unclassified,City
MAHENDRAGARH,Unclassified,District
MAHESANA,Unclassified,City
MAHIPALPUR,Unclassified,Village
MAINPURI,Unclassified,District
MAJERHAAT,Unclassified,Town
MAJHAULI,Unclassified,Town
MAJULI,Unclassified,District
MALANPUR,Unclassified,City
MALAPPURAM,Unclassified,District
MALDA,Unclassified,City
MALIHABAD,Unclassified,District
MALLEPALLY,Unclassified,Town
MALWA,Unclassified,Village
MAMIT,Unclassified,District
MANALI,Unclassified,Town
MANAMADURAI,Unclassified,District
MANCHESWAR,Unclassified,Town
MANDHAR,Unclassified,Village
MANDI,Unclassified,District
MANDIDEEP,Unclassified,Town
MANDLA,Unclassified,District
MANDONI,Unclassified,Town
MANDSAUR,Unclassified,District
MANDVI,Unclassified,Town
MANDYA,Unclassified,District
MANESAR,Unclassified,City
MANGALURU,Unclassified,City
MANGAON,Unclassified,Town
MANIKKCHAMB,Unclassified,Town
MANKEPADA,Unclassified,Village
MANSA,Unclassified,District
MARATHWADA,Unclassified,Town
MARAWAR MUNDWA,Unclassified,Town
MASWAD,Unclassified,Town
